Word,Count
portion,9
strong,9
tempat,9
disappoint,9
dish,9
base,9
wenak,9
luck,9
needs,9
super,9
point,9
business,9
away,9
jakarta,9
study,9
decoration,9
goreng,9
thankyou,9
toilets,9
queue,9
qris,9
steak,9
market,9
interior,9
store,9
lack,9
debit,9
expectation,9
fav,9
gelato,9
upgrade,8
alhamdulillah,8
compared,8
coming,8
idr,8
lucky,8
croissant,8
preference,8
polite,8
authentic,8
syrup,8
crowds,8
pray,8
sidoarjo,8
crunchy,8
promos,8
healing,8
vape,8
jam,8
old,8
addicted,8
chilling,8
work,8
start,8
cake,8
ppkm,8
gatherings,8
basecamp,8
sing,8
reservation,8
middle,8
soul,8
sellers,8
honest,8
smooth,8
star,8
single,8
jossss,8
5k,8
subscription,8
songs,8
collect,8
health,8
crazy,8
instant,8
environment,8
cakes,8
dining,8
youll,8
mediocre,8
katsu,8
luxurious,8
maintained,8
impression,8
design,8
welcome,8
opens,8
lol,8
passing,8
electricity,8
chitchat,8
motorcycles,8
tahu,7
yogyakarta,7
cappucino,7
petis,7
strategically,7
22k,7
macchiato,7
chili,7
croissants,7
fivestar,7
pity,7
big,7
guitar,7
brewed,7
raya,7
bag,7
jl,7
discussions,7
gamers,7
noon,7
unfriendly,7
ages,7
vanilla,7
thesis,7
outlet,7
relatively,7
bounces,7
dessert,7
lalapan,7
nusantara,7
successful,7
es,7
gg,7
reach,7
fan,7
kopdar,7
extraordinary,7
eco,7
gayo,7
dine,7
cangkruk,7
expectations,7
premium,7
teriyaki,7
kota,7
coolest,7
alternative,7
superb,7
tried,7
concoction,7
24,7
reliable,7
grab,7
wrong,7
worry,7
evening,7
used,7
mantab,7
2022,7
driver,7
loss,7
miss,7
sudimoro,7
cafestyle,7
siip,7
decor,7
inexpensive,7
court,7
juices,7
cup,7
sachet,7
heart,7
square,7
grand,7
chess,7
ranging,7
beans,7
placegood,7
ordering,7
gather,7
turen,7
instagrammable,7
cramped,7
rujak,7
begawan,7
daily,7
selection,7
reviews,7
thanks,7
tax,7
20k,7
chillin,7
thx,7
18k,7
advice,7
soekarno,7
field,7
fish,7
friday,7
jaya,7
value,7
janji,7
excelso,7
shisha,7
ayam,7
chair,7
nicee,7
mosquitos,6
got,6
sockets,6
speciality,6
early,6
nostalgic,6
xixixi,6
payments,6
ngopi,6
texture,6
plants,6
office,6
vary,6
uno,6
mood,6
cashless,6
egg,6
think,6
terminal,6
importantly,6
fatigue,6
varieties,6
boiled,6
rolls,6
taxi,6
grabfood,6
thirst,6
indomaret,6
sir,6
families,6
pure,6
nyaman,6
wallet,6
instagram,6
solid,6
popular,6
stingy,6
cheese,6
lively,6
mobile,6
tempe,6
josh,6
gandos,6
arema,6
round,6
express,6
mother,6
addictive,6
oclock,6
rating,6
mantull,6
fruit,6
arrive,6
close,6
weak,6
exciting,6
dangdut,6
snacking,6
eid,6
read,6
bar,6
inspiration,6
budget,6
sticky,6
bit,6
lumayan,6
customer,6
options,6
lovers,6
josssss,6
studying,6
water,6
air,6
lop,6
gas,6
tunjungan,6
pak,6
summer,6
v60,6
sippp,6
pay,6
tourist,6
2nd,6
