name,rating,total_reviews,rating_normalized,reviews_normalized,score,rank
Omah Lawas,5.0,43.0,1.0,0.002431540554622822,0.7007294621663868,62
Omah Lawas,5.0,43.0,1.0,0.002431540554622822,0.7007294621663868,63
Akong Kedai (Noodle & Coffee),5.0,42.0,1.0,0.0023736467318937068,0.700712094019568,64
BUBOBI,5.0,42.0,1.0,0.0023736467318937068,0.700712094019568,65
Akong Kedai (Noodle & Coffee),5.0,42.0,1.0,0.0023736467318937068,0.700712094019568,66
Akong Kedai (Noodle & Coffee),5.0,42.0,1.0,0.0023736467318937068,0.700712094019568,67
Akong Kedai (Noodle & Coffee),5.0,42.0,1.0,0.0023736467318937068,0.700712094019568,68
Calathea Garden,5.0,41.0,1.0,0.002315752909164592,0.7006947258727493,69
Calathea Garden,5.0,41.0,1.0,0.002315752909164592,0.7006947258727493,70
Calathea Garden,5.0,41.0,1.0,0.002315752909164592,0.7006947258727493,71
Calathea Garden,5.0,41.0,1.0,0.002315752909164592,0.7006947258727493,72
Burger Bingo!,5.0,40.0,1.0,0.0022578590864354773,0.7006773577259306,73
Sabatikal Barbershop,5.0,40.0,1.0,0.0022578590864354773,0.7006773577259306,74
Sabatikal Barbershop,5.0,40.0,1.0,0.0022578590864354773,0.7006773577259306,75
Sins Coffee,5.0,40.0,1.0,0.0022578590864354773,0.7006773577259306,76
Sins Coffee,5.0,40.0,1.0,0.0022578590864354773,0.7006773577259306,77
Sins Coffee,5.0,40.0,1.0,0.0022578590864354773,0.7006773577259306,78
Sins Coffee,5.0,40.0,1.0,0.0022578590864354773,0.7006773577259306,79
DEQAVE (Cafe & Co-Working Space),5.0,39.0,1.0,0.0021999652637063626,0.7006599895791119,80
Kedai Wayank,5.0,39.0,1.0,0.0021999652637063626,0.7006599895791119,81
Kedai Wayank,5.0,39.0,1.0,0.0021999652637063626,0.7006599895791119,82
DEQAVE (Cafe & Co-Working Space),5.0,39.0,1.0,0.0021999652637063626,0.7006599895791119,83
Garazi Chick 'n Shakes,5.0,38.0,1.0,0.002142071440977248,0.7006426214322932,84
klatensche coffee and chill,5.0,36.0,1.0,0.002026283795519018,0.7006078851386557,85
Kamsia boba & chiken Gajahmada,5.0,35.0,1.0,0.0019683899727899034,0.7005905169918369,86
Pangkubudhe,5.0,35.0,1.0,0.0019683899727899034,0.7005905169918369,87
OBOE coffee,5.0,35.0,1.0,0.0019683899727899034,0.7005905169918369,88
OBOE coffee,5.0,35.0,1.0,0.0019683899727899034,0.7005905169918369,89
OBOE coffee,5.0,35.0,1.0,0.0019683899727899034,0.7005905169918369,90
Salad Pop Ketawanggede,5.0,33.0,1.0,0.0018526023273316738,0.7005557806981995,91
Salad Pop Ketawanggede,5.0,33.0,1.0,0.0018526023273316738,0.7005557806981995,92
BUN Coffee,5.0,33.0,1.0,0.0018526023273316738,0.7005557806981995,93
Shake Shake Salad Malang,5.0,31.0,1.0,0.0017368146818734441,0.700521044404562,94
Shake Shake Salad Malang,5.0,31.0,1.0,0.0017368146818734441,0.700521044404562,95
Shake Shake Salad Malang,5.0,31.0,1.0,0.0017368146818734441,0.700521044404562,96
Penthouse Dorm&Cafe,5.0,31.0,1.0,0.0017368146818734441,0.700521044404562,97
Penthouse Dorm&Cafe,5.0,31.0,1.0,0.0017368146818734441,0.700521044404562,98
Toko kopi sudawirat,5.0,31.0,1.0,0.0017368146818734441,0.700521044404562,99
Sedjoli,5.0,30.0,1.0,0.0016789208591443292,0.7005036762577432,100
Kingdom Food,5.0,29.0,1.0,0.0016210270364152145,0.7004863081109245,101
Pokok Ngopi,5.0,28.0,1.0,0.0015631332136860996,0.7004689399641058,102
Goodfather 3 Warkop & Vapor,5.0,28.0,1.0,0.0015631332136860996,0.7004689399641058,103
Kopi Ceket & Wedang Uwuh,5.0,28.0,1.0,0.0015631332136860996,0.7004689399641058,104
Hastawara Coffee House,5.0,28.0,1.0,0.0015631332136860996,0.7004689399641058,105
Warkofi Comboran Malang,5.0,27.0,1.0,0.001505239390956985,0.700451571817287,106
Warkofi Comboran Malang,5.0,27.0,1.0,0.001505239390956985,0.700451571817287,107
Warkofi Comboran Malang,5.0,27.0,1.0,0.001505239390956985,0.700451571817287,108
Ngopi time nukus,5.0,26.0,1.0,0.0014473455682278702,0.7004342036704683,109
Ngopi time nukus,5.0,26.0,1.0,0.0014473455682278702,0.7004342036704683,110
Warung Kopi OYItok,5.0,26.0,1.0,0.0014473455682278702,0.7004342036704683,111
Lentera Coffee,5.0,25.0,1.0,0.0013894517454987553,0.7004168355236495,112
Koffie Receipt,5.0,25.0,1.0,0.0013894517454987553,0.7004168355236495,113
Karta Coffee & Eatery,5.0,25.0,1.0,0.0013894517454987553,0.7004168355236495,114
Kopi Cemara,5.0,24.0,1.0,0.0013315579227696406,0.7003994673768309,115
Kedai kopi japoeng,5.0,24.0,1.0,0.0013315579227696406,0.7003994673768309,116
Warung Kopi ALIM,5.0,24.0,1.0,0.0013315579227696406,0.7003994673768309,117
Cepit Kopi,5.0,23.0,1.0,0.0012736641000405256,0.7003820992300122,118
Cafe Goklat Malang,5.0,23.0,1.0,0.0012736641000405256,0.7003820992300122,119
OMAH PUNDEN,5.0,23.0,1.0,0.0012736641000405256,0.7003820992300122,120
Malam Minggu Cafe & Play,5.0,22.0,1.0,0.001215770277311411,0.7003647310831934,121
Kedai Kreewools,5.0,22.0,1.0,0.001215770277311411,0.7003647310831934,122
Omah Semeru,5.0,21.0,1.0,0.001157876454582296,0.7003473629363747,123
Warkop Van Java,5.0,21.0,1.0,0.001157876454582296,0.7003473629363747,124
Ndaru coffee,5.0,21.0,1.0,0.001157876454582296,0.7003473629363747,125
Kae Coffee & Snack,5.0,21.0,1.0,0.001157876454582296,0.7003473629363747,126
Warkop Ma'Ciek,5.0,21.0,1.0,0.001157876454582296,0.7003473629363747,127
Flufy,5.0,21.0,1.0,0.001157876454582296,0.7003473629363747,128
Omah Semeru,5.0,21.0,1.0,0.001157876454582296,0.7003473629363747,129
Kaw Kaw Origin Thai Tea,5.0,21.0,1.0,0.001157876454582296,0.7003473629363747,130
Boba & Kopi Twin,5.0,20.0,1.0,0.0010999826318531813,0.7003299947895559,131
Benoa Cafe and Eatery,5.0,20.0,1.0,0.0010999826318531813,0.7003299947895559,132
Boba & Kopi Twin,5.0,20.0,1.0,0.0010999826318531813,0.7003299947895559,133
Boba & Kopi Twin,5.0,20.0,1.0,0.0010999826318531813,0.7003299947895559,134
Rejo Coffee,5.0,20.0,1.0,0.0010999826318531813,0.7003299947895559,135
Coffee Six,5.0,20.0,1.0,0.0010999826318531813,0.7003299947895559,136
JagoAR,5.0,20.0,1.0,0.0010999826318531813,0.7003299947895559,137
Kopi ALAM,5.0,19.0,1.0,0.0010420888091240664,0.7003126266427372,138
Bumandhala,5.0,19.0,1.0,0.0010420888091240664,0.7003126266427372,139
Kopi ALAM,5.0,19.0,1.0,0.0010420888091240664,0.7003126266427372,140
Kopi ALAM,5.0,19.0,1.0,0.0010420888091240664,0.7003126266427372,141
Berdikari Kedai Kopi,5.0,19.0,1.0,0.0010420888091240664,0.7003126266427372,142
Arckoohii,5.0,19.0,1.0,0.0010420888091240664,0.7003126266427372,143
Garita Garden Cafe,5.0,19.0,1.0,0.0010420888091240664,0.7003126266427372,144
Sarjana Rasa,5.0,19.0,1.0,0.0010420888091240664,0.7003126266427372,145
Berdikari Kedai Kopi,5.0,19.0,1.0,0.0010420888091240664,0.7003126266427372,146
"BF ""Gatsu""",5.0,18.0,1.0,0.0009841949863949517,0.7002952584959184,147
Lagi Viral,5.0,18.0,1.0,0.0009841949863949517,0.7002952584959184,148
sekentalSTMJ.kopi,5.0,17.0,1.0,0.0009263011636658369,0.7002778903490997,149
ATAP SENJA,5.0,17.0,1.0,0.0009263011636658369,0.7002778903490997,150
Kedai Kopiniboss,5.0,17.0,1.0,0.0009263011636658369,0.7002778903490997,151
Noon Tea Bar - Plaza Malioboro,5.0,17.0,1.0,0.0009263011636658369,0.7002778903490997,152
ATAP SENJA,5.0,17.0,1.0,0.0009263011636658369,0.7002778903490997,153
ATAP SENJA,5.0,17.0,1.0,0.0009263011636658369,0.7002778903490997,154
Tuku STMJ & KETAN,5.0,17.0,1.0,0.0009263011636658369,0.7002778903490997,155
STMJ RAMPAL,5.0,17.0,1.0,0.0009263011636658369,0.7002778903490997,156
Cafe Konco Lawas,5.0,17.0,1.0,0.0009263011636658369,0.7002778903490997,157
sekentalSTMJ.kopi,5.0,17.0,1.0,0.0009263011636658369,0.7002778903490997,158
ATAP SENJA,5.0,17.0,1.0,0.0009263011636658369,0.7002778903490997,159
Warung Selfie Kampung Warna Warni,5.0,17.0,1.0,0.0009263011636658369,0.7002778903490997,160
STMJ RAMPAL,5.0,17.0,1.0,0.0009263011636658369,0.7002778903490997,161
Dupak Kopi Tahlil,5.0,17.0,1.0,0.0009263011636658369,0.7002778903490997,162
TROTOAR CAFE,5.0,17.0,1.0,0.0009263011636658369,0.7002778903490997,163
sekentalSTMJ.kopi,5.0,17.0,1.0,0.0009263011636658369,0.7002778903490997,164
Kedai Kopiniboss,5.0,17.0,1.0,0.0009263011636658369,0.7002778903490997,165
Warung Selfie Kampung Warna Warni,5.0,17.0,1.0,0.0009263011636658369,0.7002778903490997,166
Kopi Siippp Toast Tlogomas,5.0,16.0,1.0,0.0008684073409367221,0.700260522202281,167
Esonja,5.0,16.0,1.0,0.0008684073409367221,0.700260522202281,168
Esonja,5.0,16.0,1.0,0.0008684073409367221,0.700260522202281,169
STMJ DEPLOK,5.0,16.0,1.0,0.0008684073409367221,0.700260522202281,170
STMJ DEPLOK,5.0,16.0,1.0,0.0008684073409367221,0.700260522202281,171
Warkop Kusam,5.0,16.0,1.0,0.0008684073409367221,0.700260522202281,172
Kopi Siippp Toast Tlogomas,5.0,16.0,1.0,0.0008684073409367221,0.700260522202281,173
KEWUT STMJ,5.0,15.0,1.0,0.0008105135182076073,0.7002431540554622,174
Like kopi,5.0,15.0,1.0,0.0008105135182076073,0.7002431540554622,175
Serlok Kopi & Freunde,5.0,15.0,1.0,0.0008105135182076073,0.7002431540554622,176
STMJ KOPI & ROTI BAKAR IDAMAN,5.0,15.0,1.0,0.0008105135182076073,0.7002431540554622,177
Esonja,5.0,15.0,1.0,0.0008105135182076073,0.7002431540554622,178
STMJ KOPI & ROTI BAKAR IDAMAN,5.0,15.0,1.0,0.0008105135182076073,0.7002431540554622,179
Kamar Bersama,5.0,15.0,1.0,0.0008105135182076073,0.7002431540554622,180
WARKOP BEMO,5.0,15.0,1.0,0.0008105135182076073,0.7002431540554622,181
Warung Kopi Abah Sis,5.0,15.0,1.0,0.0008105135182076073,0.7002431540554622,182
Angkringan Tali Roso Cab.Suhat,5.0,15.0,1.0,0.0008105135182076073,0.7002431540554622,183
STMJ srawung,5.0,15.0,1.0,0.0008105135182076073,0.7002431540554622,184
Like kopi,5.0,15.0,1.0,0.0008105135182076073,0.7002431540554622,185
Cafe Srundeng123,5.0,15.0,1.0,0.0008105135182076073,0.7002431540554622,186
Pikabo Boba Borobudur,5.0,15.0,1.0,0.0008105135182076073,0.7002431540554622,187
Eyre Cafe,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,188
Warung Kopi GIRAS,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,189
Eyre Cafe,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,190
Kopi obrox,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,191
Remen Kopi,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,192
COFFE BENGKEL (NDILALAH ),5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,193
Terang Bulan & Martabak Mr.F,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,194
Terang Bulan & Martabak Mr.F,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,195
Warung Kopi GIRAS,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,196
Mice Street Cafe,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,197
Warung Kopi GIRAS,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,198
Segara Merjosari - Lowokwaru,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,199
Terang Bulan & Martabak Mr.F,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,200
MIE BAKAR KOTA BATU,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,201
Ngelak Boba & Ice Cream Malang,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,202
Remen Kopi,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,203
Warung Kopi GIRAS,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,204
WARKOP BULBUL STMJ&KOPI,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,205
Eyre Cafe,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,206
Sebuahceritakopi dukuh kupang,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,207
Segara Merjosari - Lowokwaru,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,208
CAFE SARANG SNACK AND CAKE,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,209
Remen Kopi,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,210
ALIF CAFE JAMU,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,211
Ngelak Boba & Ice Cream Malang,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,212
Terang Bulan & Martabak Mr.F,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,213
Kopi obrox,5.0,14.0,1.0,0.0007526196954784924,0.7002257859086435,214
Pool Coffee,5.0,13.0,1.0,0.0006947258727493776,0.7002084177618247,215
Ngopi'O,5.0,13.0,1.0,0.0006947258727493776,0.7002084177618247,216
kedai kopi M2,5.0,13.0,1.0,0.0006947258727493776,0.7002084177618247,217
Pool Coffee,5.0,13.0,1.0,0.0006947258727493776,0.7002084177618247,218
Sure coffee malang,5.0,13.0,1.0,0.0006947258727493776,0.7002084177618247,219
Gundam Spot X Cafe Rencang Nyimut,5.0,13.0,1.0,0.0006947258727493776,0.7002084177618247,220
Sure coffee malang,5.0,13.0,1.0,0.0006947258727493776,0.7002084177618247,221
By Coffee Soekarno Hatta,5.0,13.0,1.0,0.0006947258727493776,0.7002084177618247,222
Warkop Kene,5.0,13.0,1.0,0.0006947258727493776,0.7002084177618247,223
Bananabis Arjosari,5.0,13.0,1.0,0.0006947258727493776,0.7002084177618247,224
Kopi Tanda Sayang,5.0,13.0,1.0,0.0006947258727493776,0.7002084177618247,225
KEDAI DAN SAMBELAN J & J,5.0,13.0,1.0,0.0006947258727493776,0.7002084177618247,226
Koloni Tanah Tinggi,5.0,13.0,1.0,0.0006947258727493776,0.7002084177618247,227
Sure coffee malang,5.0,13.0,1.0,0.0006947258727493776,0.7002084177618247,228
By Coffee Soekarno Hatta,5.0,13.0,1.0,0.0006947258727493776,0.7002084177618247,229
Kedai ONG.,5.0,13.0,1.0,0.0006947258727493776,0.7002084177618247,230
Bananabis Arjosari,5.0,13.0,1.0,0.0006947258727493776,0.7002084177618247,231
By Coffee Soekarno Hatta,5.0,13.0,1.0,0.0006947258727493776,0.7002084177618247,232
Kopi Tanda Sayang,5.0,13.0,1.0,0.0006947258727493776,0.7002084177618247,233
Kedai Satu Nama Ijen,5.0,13.0,1.0,0.0006947258727493776,0.7002084177618247,234
B COFFEE,5.0,12.0,1.0,0.0006368320500202628,0.700191049615006,235
payaman secangkir kopi,5.0,12.0,1.0,0.0006368320500202628,0.700191049615006,236
amarma.coffee,5.0,12.0,1.0,0.0006368320500202628,0.700191049615006,237
Kopi Kajoe Cafe,5.0,12.0,1.0,0.0006368320500202628,0.700191049615006,238
Darmo Park Cafe,5.0,12.0,1.0,0.0006368320500202628,0.700191049615006,239
ANGKRINGAN RETJEH PASURUAN,5.0,12.0,1.0,0.0006368320500202628,0.700191049615006,240
BERBAGI CAFE | WHIP mie pedas | Kopi Sawojajar | Kuliner Malang,5.0,12.0,1.0,0.0006368320500202628,0.700191049615006,241
Warkop Mbokne Coffee,5.0,12.0,1.0,0.0006368320500202628,0.700191049615006,242
"Angkringan Malang Culture ""NANGKRINGO""",5.0,12.0,1.0,0.0006368320500202628,0.700191049615006,243
WARKOPKU AE,5.0,12.0,1.0,0.0006368320500202628,0.700191049615006,244
Kopi Kajoe Cafe,5.0,12.0,1.0,0.0006368320500202628,0.700191049615006,245
Kopi Kajoe Cafe,5.0,12.0,1.0,0.0006368320500202628,0.700191049615006,246
Es Teh Anak Negeri,5.0,12.0,1.0,0.0006368320500202628,0.700191049615006,247
Warkop restu ibu,5.0,12.0,1.0,0.0006368320500202628,0.700191049615006,248
BERBAGI CAFE | WHIP mie pedas | Kopi Sawojajar | Kuliner Malang,5.0,12.0,1.0,0.0006368320500202628,0.700191049615006,249
payaman secangkir kopi,5.0,12.0,1.0,0.0006368320500202628,0.700191049615006,250
Daydream Factory,5.0,12.0,1.0,0.0006368320500202628,0.700191049615006,251
Ciella coffeeshop,5.0,12.0,1.0,0.0006368320500202628,0.700191049615006,252
Warkop Mbokne Coffee,5.0,12.0,1.0,0.0006368320500202628,0.700191049615006,253
Bikkenhaus,5.0,12.0,1.0,0.0006368320500202628,0.700191049615006,254
cafe 6nem,5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,255
Lur Coffee & Tea,5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,256
Warung GANGROLAS,5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,257
Lur Coffee & Tea,5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,258
Nestcafe,5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,259
Nestcafe,5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,260
Das.kopi (kopi.ketan.pecel),5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,261
Ness Coffee,5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,262
Tarikmang Malang,5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,263
Kios Pak Ta'in,5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,264
Tepi Tengah,5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,265
Kedai Kopi Kupeh,5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,266
Baru Buka Disini,5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,267
Omah Uti Batu,5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,268
Warkop Wak Ri,5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,269
Kedai Mamicu,5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,270
Warkop Wak Ri,5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,271
Kota kopi,5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,272
Kios Pak Ta'in,5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,273
Es Teh Poci - Pakuwon City Mall 2,5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,274
Angkringan Ashalti Candi Mendut,5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,275
OEMAH LUMPIA LOVIN,5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,276
Tarikmang Malang,5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,277
Kapan Kopi,5.0,11.0,1.0,0.000578938227291148,0.7001736814681873,278
