Name,rating,total_reviews,rating_normalized,reviews_normalized,score,rank
Cafe Sawah Pujonkidul,4.5,17274,0.875,1.0,0.9124999999999999,1
Filosofi Kopi Jogja,4.5,10643,0.875,0.6161060614832398,0.7973318184449718,2
Rolag Kopi Karah,4.3,11460,0.825,0.6634053146529265,0.7765215943958779,3
BONCAFE RAYA GUBENG,4.7,6114,0.925,0.3539049383430788,0.7536714815029236,4
Loko Coffee Shop Malioboro Yogyakarta,4.5,6488,0.875,0.37555722804376773,0.7251671684131302,5
Cafe Brick,4.4,7458,0.8500000000000001,0.43171423609100906,0.7245142708273027,6
Baraka Coffee House,5.0,1273,1.0,0.07364094251143403,0.7220922827534302,7
NK Cafe,4.5,6072,0.875,0.351473397788456,0.7179420193365367,8
NK Cafe,4.5,6053,0.875,0.3503734151566028,0.7176120245469808,9
Cokelat Klasik Cafe,4.4,6741,0.8500000000000001,0.3902043651942338,0.7120613095582701,10
Nderek Cafe,4.9,1698,0.9750000000000001,0.09824581717130783,0.7119737451513923,11
Dekker Koffie,5.0,347,1.0,0.02003126266427372,0.706009378799282,12
Bukit Delight,4.5,5334,0.875,0.30874775661436926,0.7051243269843107,13
Bukit Delight,4.5,5333,0.875,0.3086898627916401,0.705106958837492,14
Kase Coffee & Pool House,5.0,233,1.0,0.013431366873154634,0.7040294100619463,15
Noise Coffee,5.0,198,1.0,0.011405083077635617,0.7034215249232907,16
Nakoa Cafe Bondowoso,4.7,3216,0.925,0.1861286400741041,0.7033385920222311,17
Bendino Beverages,5.0,180,1.0,0.01036299426851155,0.7031088982805535,18
Alfajores Bali Cafe,5.0,107,1.0,0.006136745209286169,0.7018410235627858,19
Mie Aceh Darussalam - Stasiun Malang,5.0,93,1.0,0.005326231691078562,0.7015978695073235,20
KopiKusi,5.0,86,1.0,0.0049209749319747585,0.7014762924795924,21
ZON,5.0,81,1.0,0.004631505818329184,0.7013894517454987,22
GoMik Malang,5.0,62,1.0,0.003531523186476003,0.7010594569559427,23
FF GARDENSPACE,5.0,61,1.0,0.0034736293637468883,0.701042088809124,24
Warkop Bento,5.0,61,1.0,0.0034736293637468883,0.701042088809124,25
Kuma Bake and Coffee,5.0,61,1.0,0.0034736293637468883,0.701042088809124,26
Sadean Kopi,5.0,59,1.0,0.0033578417182886585,0.7010073525154865,27
Kopi Very,5.0,59,1.0,0.0033578417182886585,0.7010073525154865,28
Es Coklat Impian - Malang,5.0,54,1.0,0.0030683726046430845,0.7009205117813929,29
Aladin Boba Shakes And Brew - Malang,5.0,51,1.0,0.0028946911364557404,0.7008684073409367,30
Kedai Jamyth,5.0,50,1.0,0.0028367973137266253,0.700851039194118,31
Kedai Tjakalang,5.0,44,1.0,0.0024894343773519366,0.7007468303132055,32
Omah Lawas,5.0,43,1.0,0.002431540554622822,0.7007294621663868,33
Nasi kuning mbak ella,5.0,43,1.0,0.002431540554622822,0.7007294621663868,34
BUBOBI,5.0,42,1.0,0.0023736467318937068,0.700712094019568,35
Akong Kedai (Noodle & Coffee),5.0,42,1.0,0.0023736467318937068,0.700712094019568,36
Calathea Garden,5.0,41,1.0,0.002315752909164592,0.7006947258727493,37
Burger Bingo!,5.0,40,1.0,0.0022578590864354773,0.7006773577259306,38
Sins Coffee,5.0,40,1.0,0.0022578590864354773,0.7006773577259306,39
